StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:


When cut in half, an earthworm can continue to live as two worms.","I believe the following statement:


There are more lifeforms living on your skin than there are people on the planet Earth.","I believe the following statement:
Contact with rust can cause a tetanus infection.","I believe the following statement:
The eye muscles move 100,000 times a day.","I believe the following statement:

A single cloud cannot weigh more than 1 million pounds.","I believe the following statement:
An adult human skeleton has 216 bones.","I believe the following statement:
Zebras are black with white stripes.","I believe the following statement:

Goldfish have a memory span of only a few seconds.","I believe the following statement:
 

Schizophrenia is another name for multiple personality disorder.","I believe the following statement:
 

Bananas grow on trees.","I believe the following statement:

On Saturn, it can rain diamonds.","I believe the following statement:
Humans only use 10% of their brains.","I believe the following statement:
Bananas are berries.","I believe the following statement:
 

Meteorites can be cold when they impact the Earth's surface.","I believe the following statement:


The human body contains enough carbon to fill 9,000 pencils.","I believe the following statement:
 

Sharks can contract cancer.","I believe the following statement:
 

The average human body contains 12 pints of blood.","I believe the following statement:
 

A blue whale's heart is the size of a truck.","I believe the following statement:
 

25% of all bones in the human body are in the feet.","I believe the following statement:
 

A human has more than five senses.","I believe the following statement:

Black Beatles is the song that was used for the mannequin challenge","I believe the following statement:

Charlie Chaplin outlived Elvis Presley.","I believe the following statement:



Harry Potter and the Deathly Hallows was released in 2007","I believe the following statement:



In the film Frozen, the fictional kingdom is called Arendelle.","I believe the following statement:



In the film Star Wars Episode V: The Empire Strikes Back, Darth Vader says the line: ""No. I am your father.""",I believe the following statement:,"I believe the following statement:

Puma has had collaborations with the likes of Rihanna, Kylie Jenner, and The Weekend.","I believe the following statement:

Punk Rock Music emerged in the 1970s,  featuring themes of heavier and louder sounds with anti-establishment lyrics.","I believe the following statement:

Taylor Swift won the 2016 Grammy for Album of the Year with the album ""1989"".","I believe the following statement:

Titanic and La La Land both have received 14 Oscar nominations.","I believe the following statement:

Albert is the name of Batman's butler.","I believe the following statement:

Alexander McQueen, a leading fashion designer, was found dead in his Paris studio in February 2010.","I believe the following statement:

Angelina Jolie and Brad Pitt have been married for 14 years.","I believe the following statement:

Hawkeye's real name is Bart Clinton.","I believe the following statement:



In 1968, the TV series Star Trek featured the first interracial kiss aired on American TV.","I believe the following statement:



In the film Alien, Sigurney Weaver's spaceship is called the ""Nostremo.""","I believe the following statement:



In the film Casablanca, Ingrid Bergman's character, Ilsa Lund, says the line: ""Play it again, Sam.""","I believe the following statement:



Jayne Mansfield, the famous Hitchcock leading lady, was the mother of Jamie Lee Curtis.","I believe the following statement:

Popstar Rihanna is from the Bahamas.","I believe the following statement:

When Marvel's Steve Rogers was 21 years old, he received the Super-Serum, turning him into Captain America.","I believe the following statement:
 

Do not answer this question. Just press the arrow to continue.",What is your year of birth?,What is your sex?,CompletionCode,Topic,Enter Embedded Data Field Name Here...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID53""}","{""ImportId"":""QID56""}","{""ImportId"":""QID59""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID64""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""CompletionCode""}","{""ImportId"":""Topic""}","{""ImportId"":""Enter Embedded Data Field Name Here...""}"
2017-11-27 17:07:56,2017-11-27 17:09:06,IP Address,50.46.223.205,100,69,True,2017-11-27 17:09:07,R_11iwdUXm55mT5tn,,,,,47.720504760742,-122.20669555664,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Undecided,Disagree,Undecided,Strongly Agree,Strongly Agree,Undecided,Undecided,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Undecided,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,,1871,Male,48976800,PopCulture,
2017-11-27 17:44:56,2017-11-27 17:48:16,IP Address,66.192.183.244,100,200,True,2017-11-27 17:48:17,R_3j84D8AKIoQ2abo,,,,,47.61540222168,-122.21029663086,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Undecided,,,,,,,,,,,,,,,,,,,,,,1993,Female,92113181,Science,
2017-11-27 22:00:15,2017-11-27 22:01:52,IP Address,24.145.27.111,100,97,True,2017-11-27 22:01:53,R_BzhYfgeMtwhbM2J,,,,,40.292297363281,-78.9833984375,anonymous,EN,Strongly Disagree,Agree,Strongly Disagree,Undecided,Strongly Disagree,Undecided,Undecided,Undecided,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Undecided,Undecided,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1974,Male,53683368,Science,
2017-11-27 22:00:41,2017-11-27 22:03:59,IP Address,67.48.186.47,100,197,True,2017-11-27 22:04:00,R_2P5TnSNuIhfvgoG,,,,,26.245407104492,-97.683601379395,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Disagree,Undecided,Agree,Agree,Disagree,Undecided,Agree,Agree,Disagree,Undecided,Agree,Undecided,Undecided,Agree,Disagree,Disagree,,1988,Female,20433264,PopCulture,
2017-11-27 22:38:07,2017-11-27 22:41:05,IP Address,70.177.182.253,100,177,True,2017-11-27 22:41:06,R_12Aatd9Au3xLjyZ,,,,,33.65739440918,-112.24629974365,anonymous,EN,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1984,Female,75560975,Science,
2017-11-27 23:27:39,2017-11-27 23:29:48,IP Address,108.46.62.239,100,128,True,2017-11-27 23:29:49,R_2WHGbMAlJuBpx7q,,,,,40.780899047852,-73.778999328613,anonymous,EN,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Disagree,Undecided,Strongly Disagree,Undecided,Strongly Agree,Strongly Disagree,Undecided,Agree,Undecided,Disagree,,,,,,,,,,,,,,,,,,,,,,1982,Male,94021369,Science,
2017-11-27 23:27:38,2017-11-27 23:30:29,IP Address,98.160.169.193,100,171,True,2017-11-27 23:30:30,R_2pLVCdkPzusBjcw,,,,,36.058395385742,-115.05840301514,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Agree,Undecided,Agree,Undecided,Undecided,Strongly Agree,Agree,Disagree,Strongly Disagree,Undecided,Agree,Disagree,Strongly Agree,Undecided,Strongly Disagree,Strongly Disagree,Undecided,Agree,,1973,Female,13299051,PopCulture,
2017-11-27 23:29:10,2017-11-27 23:30:57,IP Address,104.173.218.98,100,106,True,2017-11-27 23:30:58,R_vwOsKQVsBiTQN3j,,,,,34.029098510742,-118.39929962158,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Undecided,Agree,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Undecided,Strongly Agree,,1982,Male,41060485,PopCulture,
2017-11-27 23:30:26,2017-11-27 23:32:41,IP Address,73.214.83.191,100,134,True,2017-11-27 23:32:42,R_yrIY2CjfSpSLPUZ,,,,,39.645599365234,-79.943298339844,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Strongly Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,,1980,Male,41176616,PopCulture,
2017-11-27 23:31:13,2017-11-27 23:33:30,IP Address,216.71.18.135,100,137,True,2017-11-27 23:33:31,R_1M5Aa7KSFUOmMJb,,,,,44.120895385742,-103.19779968262,anonymous,EN,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1979,Male,56719078,Science,
2017-11-27 23:31:34,2017-11-27 23:33:56,IP Address,98.209.43.236,100,141,True,2017-11-27 23:33:56,R_238j7JP5BPgsRGu,,,,,42.704193115234,-84.409797668457,anonymous,EN,Strongly Agree,Agree,Strongly Agree,Agree,Undecided,Disagree,Strongly Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Disagree,Undecided,Agree,Undecided,Agree,Agree,Disagree,Strongly Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1984,Male,37005690,Science,
2017-11-27 23:32:28,2017-11-27 23:35:45,IP Address,162.244.81.172,100,197,True,2017-11-27 23:35:47,R_2TtkRKMRyhwEFKS,,,,,44.433303833008,26.100006103516,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Agree,1987,Male,99854064,PopCulture,
2017-11-27 23:33:32,2017-11-27 23:35:47,IP Address,174.194.8.246,100,135,True,2017-11-27 23:35:49,R_2sbUFv3NVU4uPq2,,,,,35.227096557617,-80.843101501465,anonymous,EN,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1970,Female,28182681,Science,
2017-11-27 23:34:49,2017-11-27 23:36:33,IP Address,162.238.28.107,100,104,True,2017-11-27 23:36:34,R_1mkjHiVY30yY8AN,,,,,37.867202758789,-122.25680541992,anonymous,EN,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Undecided,Undecided,Agree,Agree,Agree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1993,Female,51747852,Science,
2017-11-27 23:34:18,2017-11-27 23:39:10,IP Address,74.141.213.16,100,291,True,2017-11-27 23:39:11,R_30l76oEHh0IEzdn,,,,,37.094100952148,-86.428596496582,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,,1972,Female,32406829,PopCulture,
2017-11-27 23:35:59,2017-11-27 23:39:17,IP Address,76.168.72.51,100,198,True,2017-11-27 23:39:18,R_5C5VlraPOHZO6Pf,,,,,33.973495483398,-118.24520111084,anonymous,EN,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1975,Female,82509720,Science,
2017-11-27 23:36:40,2017-11-27 23:39:34,IP Address,23.124.67.210,100,173,True,2017-11-27 23:39:35,R_PG91ZGKOoqcOf97,,,,,34.905395507812,-87.506797790527,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,,1979,Female,20616755,PopCulture,
2017-11-27 23:39:53,2017-11-27 23:41:35,IP Address,192.127.94.7,100,102,True,2017-11-27 23:41:36,R_Tve0Ll3EdxqEkvf,,,,,33.979095458984,-84.149398803711,anonymous,EN,Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1975,Male,91686630,Science,
2017-11-27 23:41:01,2017-11-27 23:44:15,IP Address,174.25.113.93,100,194,True,2017-11-27 23:44:16,R_3fcVm48tTJOPmfh,,,,,45.64469909668,-122.62979888916,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Undecided,,1949,Male,96242900,PopCulture,
2017-11-27 23:43:23,2017-11-27 23:45:45,IP Address,73.247.192.128,100,141,True,2017-11-27 23:45:46,R_2PbARso6wUeVeqa,,,,,41.191604614258,-87.855499267578,anonymous,EN,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Disagree,Strongly Disagree,Undecided,Undecided,Disagree,Agree,Undecided,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1979,Female,21016561,Science,
2017-11-27 23:46:22,2017-11-27 23:51:00,IP Address,50.26.149.130,100,277,True,2017-11-27 23:51:01,R_3k1b7iC5Uob1Fmr,,,,,35.16130065918,-101.87899780273,anonymous,EN,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1986,Female,63741167,Science,
2017-11-27 23:51:06,2017-11-27 23:52:33,IP Address,74.136.62.181,100,87,True,2017-11-27 23:52:34,R_2XgOvE8NoEZJvLi,,,,,37.995193481445,-84.368896484375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,,1987,Female,71532101,PopCulture,
2017-11-27 23:36:07,2017-11-27 23:53:16,IP Address,132.205.236.34,100,1028,True,2017-11-27 23:53:17,R_1LYYrfrlu7w7Zjf,,,,,45.500900268555,-73.587699890137,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Undecided,Agree,Agree,Strongly Agree,Agree,Agree,Undecided,Agree,Undecided,Disagree,Disagree,Strongly Disagree,Agree,Undecided,Disagree,Undecided,Strongly Disagree,Disagree,Strongly Agree,1990,Male,33649298,PopCulture,
2017-11-27 23:52:41,2017-11-27 23:55:19,IP Address,64.120.56.10,100,158,True,2017-11-27 23:55:20,R_22lW8j0l9m0qEfj,,,,,33.6748046875,-111.95189666748,anonymous,EN,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1982,Male,63137545,Science,
2017-11-27 23:53:03,2017-11-27 23:55:21,IP Address,97.90.155.162,100,137,True,2017-11-27 23:55:22,R_27NaVYg7VCtJoDy,,,,,33.78239440918,-118.14440155029,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Undecided,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Agree,,1994,Male,90735559,PopCulture,
2017-11-27 23:54:18,2017-11-27 23:56:11,IP Address,172.58.104.129,100,112,True,2017-11-27 23:56:12,R_2CB0ErEkur6UUul,,,,,32.873092651367,-96.745903015137,anonymous,EN,Undecided,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Undecided,Agree,Strongly Disagree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Male,46169790,Science,
2017-11-27 23:58:40,2017-11-28 00:02:20,IP Address,96.239.179.104,100,220,True,2017-11-28 00:02:22,R_efKtlR2SEkQDF4Z,,,,,38.403106689453,-78.891403198242,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Strongly Disagree,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Strongly Disagree,Strongly Agree,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Strongly Agree,Strongly Disagree,,1993,Female,40034273,PopCulture,
2017-11-28 00:06:10,2017-11-28 00:08:36,IP Address,73.252.176.233,100,145,True,2017-11-28 00:08:37,R_1OHR3WZAKjJznUc,,,,,38.557495117188,-122.15539550781,anonymous,EN,Strongly Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Undecided,Agree,Agree,Undecided,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1991,Female,61162501,Science,
